,都道府県,variable,value
419,大分県,1983,195.68249861481354
420,宮崎県,1983,185.81922420551663
421,鹿児島県,1983,196.87208108653283
422,沖縄県,1983,200.9084692781088
423,北海道,1984,194.19582618562924
424,青森県,1984,190.67216413814597
425,岩手県,1984,189.18794828230517
426,宮城県,1984,202.50672975431004
427,秋田県,1984,182.84560121292813
428,山形県,1984,186.63260207524118
429,福島県,1984,208.35034953920814
430,茨城県,1984,226.02771789558872
431,栃木県,1984,214.60740420277992
432,群馬県,1984,243.57914611877817
433,埼玉県,1984,225.5369772837018
434,千葉県,1984,215.27777777777777
435,東京都,1984,208.54644562984345
436,神奈川県,1984,209.7598478778601
437,新潟県,1984,192.8786703013403
438,富山県,1984,191.0532320412327
439,石川県,1984,196.5562156612711
440,福井県,1984,206.6858944539205
441,山梨県,1984,234.28071303982088
442,長野県,1984,213.0444961333978
443,岐阜県,1984,205.12882869143354
444,静岡県,1984,211.28417215566202
445,愛知県,1984,207.77896790921258
446,三重県,1984,193.11155436614743
447,滋賀県,1984,233.9750345726696
448,京都府,1984,202.17845014659787
449,大阪府,1984,183.9592417426865
450,兵庫県,1984,196.99307443203244
451,奈良県,1984,213.77857093688323
452,和歌山県,1984,168.87213775333743
453,鳥取県,1984,195.65056414053822
454,島根県,1984,216.20364489048393
455,岡山県,1984,195.42014198070433
456,広島県,1984,180.96394290032208
457,山口県,1984,183.06458109332934
458,徳島県,1984,190.19399927983875
459,香川県,1984,178.52195866669982
460,愛媛県,1984,190.3373346513006
461,高知県,1984,183.566508359351
462,福岡県,1984,187.0424388490111
463,佐賀県,1984,194.57991617369782
464,長崎県,1984,185.8816728245844
465,熊本県,1984,206.48956436998023
466,大分県,1984,209.50083348988517
467,宮崎県,1984,197.31552664655484
468,鹿児島県,1984,210.9433157443703
469,沖縄県,1984,215.70989764796545
470,北海道,1985,206.94223849215066
471,青森県,1985,203.17035159876139
472,岩手県,1985,199.5473243025099
473,宮城県,1985,217.989396695367
474,秋田県,1985,192.85979777996752
475,山形県,1985,199.053850502398
476,福島県,1985,219.37644801905395
477,茨城県,1985,251.8422319429038
478,栃木県,1985,227.75434393931505
479,群馬県,1985,252.52653938362545
480,埼玉県,1985,245.26467213295663
481,千葉県,1985,238.91503257772436
482,東京都,1985,224.85698295305485
483,神奈川県,1985,228.55895343877845
